iso_code,name,sp_2024,old_sp_2050,new_sp_2050,observed_rate,correction_reason
ire,Yerisiam,1000,453,1000,0.0,no observed rate; projected flat
irn,Irantxe,326,65,326,0.0,no observed rate; projected flat
iru,Irula,5000,2265,5000,0.0,no observed rate; projected flat
iry,Iraya,10000,6751,10000,0.0,no observed rate; projected flat
isk,Ishkashimi,2500,1132,2500,0.0,no observed rate; projected flat
isn,Isanzu,32400,21872,32400,0.0,no observed rate; projected flat
ist,Istriot,400,80,400,0.0,no observed rate; projected flat
isu,"Isu (Northwest Region, Cameroon)",10400,7021,10400,0.0,no observed rate; projected flat
itm,Itu Mbon Uzo,5000,2265,5000,0.0,no observed rate; projected flat
itr,Iteri,447,202,447,0.0,no observed rate; projected flat
itx,Itik,80,16,80,0.0,no observed rate; projected flat
iwm,May River Iwam,3000,1359,3000,0.0,no observed rate; projected flat
iwo,Iwur,1000,453,1000,0.0,no observed rate; projected flat
iws,Sepik Iwam,2500,1132,2500,0.0,no observed rate; projected flat
izh,Ingrian,130,26,130,0.0,no observed rate; projected flat
jaa,Jamamadí,980,444,980,0.0,no observed rate; projected flat
jah,Jah Hut,5500,2491,5500,0.0,no observed rate; projected flat
jak,Jakun,10000,6751,10000,0.0,no observed rate; projected flat
jao,Yanyuwa,52,10,52,0.0,no observed rate; projected flat
jay,Yan-nhangu,265,120,265,0.0,no observed rate; projected flat
jbt,Jabutí,50,10,50,0.0,no observed rate; projected flat
jcs,Jamaican Country Sign Language,2500,1132,2500,0.0,no observed rate; projected flat
jct,Krymchak,200,40,200,0.0,no observed rate; projected flat
jda,Jad,2000,906,2000,0.0,no observed rate; projected flat
jdt,Judeo-Tat,25000,16876,25000,0.0,no observed rate; projected flat
jee,Jerung,271,123,271,0.0,no observed rate; projected flat
jek,Jeri Kuo,1500,300,1500,0.0,no observed rate; projected flat
jet,Manem,400,181,400,0.0,no observed rate; projected flat
jeu,Jonkor Bourmataguil,750,340,750,0.0,no observed rate; projected flat
jhi,Jahai,5500,2491,5500,0.0,no observed rate; projected flat
jic,Tol,250,113,250,0.0,no observed rate; projected flat
jie,Jilbe,1000,453,1000,0.0,no observed rate; projected flat
jii,Jiiddu,33000,14948,33000,0.0,no observed rate; projected flat
jim,Jimi (Cameroon),3000,1359,3000,0.0,no observed rate; projected flat
jiq,Khroskyabs,10000,4530,10000,0.0,no observed rate; projected flat
jiu,Youle Jinuo,5225,1046,5225,0.0,no observed rate; projected flat
jiv,Shuar,46700,31525,68776,0.015,observed rate 33.43%/yr → clamped to 1.50%/yr
jiy,Buyuan Jinuo,1000,453,1000,0.0,no observed rate; projected flat
jje,Jejueo,7500,3397,7500,0.0,no observed rate; projected flat
jka,Kaera,5500,3713,5500,0.0,no observed rate; projected flat
jkr,Koro (India),1000,453,1000,0.0,no observed rate; projected flat
jku,Labir,13000,8776,13000,0.0,no observed rate; projected flat
jle,Ngile,38000,25652,38000,0.0,no observed rate; projected flat
jmi,Jimi (Nigeria),1000,200,1000,0.0,no observed rate; projected flat
jmr,Kamara,3000,2025,3000,0.0,no observed rate; projected flat
jna,Jangshung,1990,901,1990,0.0,no observed rate; projected flat
jni,Janji,1150,521,1150,0.0,no observed rate; projected flat
jns,Jaunsari,96995,65477,96995,0.0,no observed rate; projected flat
jqr,Jaqaru,725,145,426,-0.020118,observed rate -2.03%/yr → clamped to -2.03%/yr
jru,Japréria,95,19,95,0.0,no observed rate; projected flat
juh,Hõne,7000,1401,7000,0.0,no observed rate; projected flat
juk,Wapan,100000,67506,100000,0.0,no observed rate; projected flat
jul,Jirel,4919,2228,4919,0.0,no observed rate; projected flat
jun,Juang,30875,20842,30875,0.0,no observed rate; projected flat
juo,Jiba,1500,679,1500,0.0,no observed rate; projected flat
